  0.11400000E+01  0.39283187E+04  0.77546447E+03
  0.11500000E+01  0.39377939E+04  0.78427596E+03
  0.11600000E+01  0.39443122E+04  0.79678206E+03
  0.11700000E+01  0.39426180E+04  0.80730532E+03
  0.11800000E+01  0.39440048E+04  0.81578850E+03
  0.11900000E+01  0.39485323E+04  0.82431778E+03
  0.12000000E+01  0.39535176E+04  0.83311804E+03
  0.12100000E+01  0.39585339E+04  0.84215907E+03
  0.12200000E+01  0.39635360E+04  0.85141551E+03
  0.12300000E+01  0.39684818E+04  0.86088380E+03
  0.12400000E+01  0.39733137E+04  0.87057586E+03
  0.12500000E+01  0.39779569E+04  0.88051304E+03
  0.12600000E+01  0.39823209E+04  0.89072223E+03
  0.12700000E+01  0.39863028E+04  0.90123287E+03
  0.12800000E+01  0.39897938E+04  0.91207282E+03
  0.12900000E+01  0.39926898E+04  0.92326217E+03
  0.13000000E+01  0.39949083E+04  0.93480641E+03
  0.13100000E+01  0.39964006E+04  0.94669136E+03
  0.13200000E+01  0.39971397E+04  0.95888328E+03
  0.13300000E+01  0.39970660E+04  0.97133837E+03
  0.13400000E+01  0.39960241E+04  0.98401834E+03
  0.13500000E+01  0.39937724E+04  0.99687381E+03
  0.13600000E+01  0.39901022E+04  0.10097421E+04
  0.13700000E+01  0.39849760E+04  0.10223319E+04
  0.13800000E+01  0.39785524E+04  0.10344464E+04
  0.13900000E+01  0.39710948E+04  0.10459860E+04
  0.14000000E+01  0.39628716E+04  0.10566161E+04
  0.14100000E+01  0.39579543E+04  0.10620273E+04
  0.14200000E+01  0.39449788E+04  0.10814374E+04
  0.14300000E+01  0.39355955E+04  0.10903662E+04
  0.14400000E+01  0.39260389E+04  0.10997590E+04
  0.14500000E+01  0.39163776E+04  0.11090521E+04
  0.14600000E+01  0.39066817E+04  0.11181733E+04
  0.14700000E+01  0.38970193E+04  0.11271201E+04
  0.14800000E+01  0.38874489E+04  0.11359056E+04
  0.14900000E+01  0.38780135E+04  0.11445462E+04
  0.15000000E+01  0.38687399E+04  0.11530573E+04
  0.15100000E+01  0.38596394E+04  0.11614523E+04
  0.15200000E+01  0.38507107E+04  0.11697427E+04
  0.15300000E+01  0.38419418E+04  0.11779374E+04
