  0.11400000E+01  0.39473172E+04  0.83580694E+03
  0.11500000E+01  0.39482568E+04  0.84539911E+03
  0.11600000E+01  0.39480034E+04  0.85573910E+03
  0.11700000E+01  0.39453934E+04  0.86533472E+03
  0.11800000E+01  0.39435944E+04  0.87418655E+03
  0.11900000E+01  0.39427798E+04  0.88286830E+03
  0.12000000E+01  0.39423690E+04  0.89146953E+03
  0.12100000E+01  0.39423468E+04  0.90001760E+03
  0.12200000E+01  0.39427689E+04  0.90854313E+03
  0.12300000E+01  0.39436622E+04  0.91708186E+03
  0.12400000E+01  0.39450203E+04  0.92567186E+03
  0.12500000E+01  0.39468038E+04  0.93435336E+03
  0.12600000E+01  0.39489409E+04  0.94317144E+03
  0.12700000E+01  0.39513305E+04  0.95217842E+03
  0.12800000E+01  0.39538457E+04  0.96143294E+03
  0.12900000E+01  0.39563433E+04  0.97099488E+03
  0.13000000E+01  0.39586777E+04  0.98091748E+03
  0.13100000E+01  0.39607197E+04  0.99123891E+03
  0.13200000E+01  0.39623612E+04  0.10019757E+04
  0.13300000E+01  0.39634859E+04  0.10131220E+04
  0.13400000E+01  0.39639046E+04  0.10246573E+04
  0.13500000E+01  0.39633208E+04  0.10365495E+04
  0.13600000E+01  0.39614063E+04  0.10486970E+04
  0.13700000E+01  0.39579737E+04  0.10608318E+04
  0.13800000E+01  0.39530976E+04  0.10726382E+04
  0.13900000E+01  0.39470628E+04  0.10839751E+04
  0.14000000E+01  0.39401904E+04  0.10948373E+04
  0.14100000E+01  0.39327064E+04  0.11052485E+04
  0.14200000E+01  0.39247333E+04  0.11152356E+04
  0.14300000E+01  0.39163523E+04  0.11248314E+04
  0.14400000E+01  0.39076539E+04  0.11340753E+04
  0.14500000E+01  0.38987472E+04  0.11430108E+04
  0.14600000E+01  0.38897466E+04  0.11516814E+04
  0.14700000E+01  0.38807563E+04  0.11601275E+04
  0.14800000E+01  0.38718610E+04  0.11683852E+04
  0.14900000E+01  0.38631226E+04  0.11764850E+04
  0.15000000E+01  0.38545799E+04  0.11844523E+04
  0.15100000E+01  0.38462504E+04  0.11923077E+04
  0.15200000E+01  0.38381335E+04  0.12000674E+04
  0.15300000E+01  0.38302137E+04  0.12077446E+04
  0.15400000E+01  0.38224650E+04  0.12153492E+04
  0.15500000E+01  0.38148542E+04  0.12228890E+04
  0.15600000E+01  0.38073449E+04  0.12303699E+04
  0.15700000E+01  0.37998997E+04  0.12377960E+04
  0.15800000E+01  0.37924831E+04  0.12451701E+04
  0.15900000E+01  0.37850631E+04  0.12524937E+04
  0.16000000E+01  0.37776125E+04  0.12597672E+04
  0.16100000E+01  0.37701092E+04  0.12669905E+04
  0.16200000E+01  0.37625369E+04  0.12741633E+04
  0.16300000E+01  0.37548850E+04  0.12812852E+04
  0.16400000E+01  0.37471480E+04  0.12883556E+04
  0.16500000E+01  0.37393256E+04  0.12953739E+04
  0.16600000E+01  0.37314215E+04  0.13023391E+04
  0.16700000E+01  0.37234434E+04  0.13092507E+04
  0.16800000E+01  0.37154019E+04  0.13161084E+04
  0.16900000E+01  0.37073101E+04  0.13229132E+04
  0.17000000E+01  0.36991826E+04  0.13296677E+04
  0.17100000E+01  0.36910357E+04  0.13363756E+04
  0.17200000E+01  0.36828859E+04  0.13430421E+04
  0.17300000E+01  0.36747494E+04  0.13496732E+04
  0.17400000E+01  0.36666416E+04  0.13562757E+04
  0.17500000E+01  0.36585757E+04  0.13628570E+04
  0.17600000E+01  0.36505620E+04  0.13694250E+04
  0.17700000E+01  0.36426070E+04  0.13759884E+04
  0.17800000E+01  0.36347150E+04  0.13825569E+04
  0.17900000E+01  0.36268891E+04  0.13891418E+04
  0.18000000E+01  0.36191321E+04  0.13957570E+04
  0.18100000E+01  0.36114371E+04  0.14024205E+04
  0.18200000E+01  0.36037659E+04  0.14091571E+04
  0.18300000E+01  0.35960286E+04  0.14159978E+04
  0.18400000E+01  0.35880933E+04  0.14229614E+04
  0.18500000E+01  0.35798434E+04  0.14300116E+04
  0.18600000E+01  0.35712415E+04  0.14370612E+04
  0.18700000E+01  0.35623413E+04  0.14440468E+04
  0.18800000E+01  0.35532379E+04  0.14509448E+04
  0.18900000E+01  0.35440114E+04  0.14577483E+04
  0.19000000E+01  0.35347088E+04  0.14644574E+04
  0.19100000E+01  0.35253576E+04  0.14710751E+04
  0.19200000E+01  0.35159823E+04  0.14776062E+04
  0.19300000E+01  0.35066131E+04  0.14840559E+04
  0.19400000E+01  0.34972885E+04  0.14904293E+04
  0.19500000E+01  0.34880648E+04  0.14967308E+04
  0.19600000E+01  0.34791436E+04  0.15029749E+04
  0.19700000E+01  0.34711861E+04  0.15092912E+04
  0.19800000E+01  0.34633531E+04  0.15162868E+04
  0.19900000E+01  0.34534613E+04  0.15233532E+04
  0.20000000E+01  0.34434921E+04  0.15298030E+04
  0.20100000E+01  0.34342491E+04  0.15361149E+04
  0.20200000E+01  0.34251974E+04  0.15423704E+04
  0.20300000E+01  0.34163074E+04  0.15486018E+04
  0.20400000E+01  0.34076257E+04  0.15548355E+04
  0.20500000E+01  0.33991484E+04  0.15610903E+04
  0.20600000E+01  0.33908525E+04  0.15673804E+04
  0.20700000E+01  0.33827169E+04  0.15737200E+04
  0.20800000E+01  0.33747242E+04  0.15801242E+04
  0.20900000E+01  0.33668568E+04  0.15866107E+04
  0.21000000E+01  0.33590939E+04  0.15931988E+04
  0.21100000E+01  0.33514087E+04  0.15999099E+04
  0.21200000E+01  0.33437650E+04  0.16067655E+04
  0.21300000E+01  0.33361145E+04  0.16137867E+04
  0.21400000E+01  0.33283935E+04  0.16209922E+04
  0.21500000E+01  0.33205202E+04  0.16283968E+04
  0.21600000E+01  0.33123933E+04  0.16360106E+04
  0.21700000E+01  0.33038918E+04  0.16438384E+04
