  0.43813651E+00  0.10040463E+02  0.99998769E+00
  0.44251788E+00  0.10055947E+02  0.99998751E+00
  0.44689924E+00  0.10071517E+02  0.99998733E+00
  0.45128061E+00  0.10087170E+02  0.99998715E+00
  0.45566197E+00  0.10102906E+02  0.99998697E+00
  0.46004334E+00  0.10118724E+02  0.99998680E+00
  0.46442470E+00  0.10134622E+02  0.99998662E+00
  0.46880607E+00  0.10150600E+02  0.99998644E+00
  0.47318743E+00  0.10166656E+02  0.99998626E+00
  0.47756880E+00  0.10182790E+02  0.99998608E+00
  0.48195016E+00  0.10199000E+02  0.99998591E+00
  0.48633153E+00  0.10215287E+02  0.99998573E+00
  0.49071289E+00  0.10231648E+02  0.99998555E+00
  0.49509426E+00  0.10248084E+02  0.99998538E+00
  0.49947562E+00  0.10264593E+02  0.99998520E+00
  0.50385699E+00  0.10281174E+02  0.99998503E+00
  0.50823835E+00  0.10297828E+02  0.99998485E+00
  0.51261972E+00  0.10314552E+02  0.99998468E+00
  0.51700108E+00  0.10331346E+02  0.99998450E+00
  0.52138245E+00  0.10348211E+02  0.99998433E+00
  0.52576381E+00  0.10365144E+02  0.99998415E+00
  0.53014518E+00  0.10382145E+02  0.99998398E+00
  0.53452654E+00  0.10399215E+02  0.99998381E+00
  0.53890791E+00  0.10416351E+02  0.99998364E+00
  0.54328927E+00  0.10433555E+02  0.99998346E+00
  0.54767064E+00  0.10450824E+02  0.99998329E+00
  0.55205200E+00  0.10468159E+02  0.99998312E+00
  0.55643337E+00  0.10485560E+02  0.99998295E+00
  0.56081473E+00  0.10503025E+02  0.99998277E+00
  0.56519610E+00  0.10520554E+02  0.99998260E+00
  0.56957746E+00  0.10538148E+02  0.99998243E+00
  0.57395883E+00  0.10555805E+02  0.99998226E+00
  0.57834019E+00  0.10573525E+02  0.99998209E+00
  0.58272156E+00  0.10591309E+02  0.99998191E+00
  0.58710292E+00  0.10609155E+02  0.99998174E+00
  0.59148429E+00  0.10627063E+02  0.99998157E+00
  0.59586565E+00  0.10645034E+02  0.99998140E+00
